Time,Quarter,Total_Revenue,SMI_US_Ad_Revenue,Capture_Rate,ORI,Lag,MAU,YoY_Y,Y_test,Y_test_YoY
2011-Q1,Q1,17910000,3391947,0.19,,,68,,17910000,
2011-Q2,Q2,20770000,4845421,0.23,,,85,,20770000,
2011-Q3,Q3,26420000,6610582,0.25,,,101,,26420000,
2011-Q4,Q4,41210000,11748245,0.29,,,117,,41210000,
2012-Q1,Q1,54310000,14983870,0.28,,17910000,138,,54310000,
2012-Q2,Q2,68050000,17904086,0.26,,20770000,151,,68050000,
2012-Q3,Q3,82330000,23301219,0.28,,26420000,167,,82330000,
2012-Q4,Q4,112250000,27965737,0.25,,41210000,185,,112250000,
2013-Q1,Q1,114340000,27579220,0.24,,54310000,204,,114340000,
2013-Q2,Q2,139290000,32455227,0.23,,68050000,218,,139290000,
2013-Q3,Q3,168580000,37480065,0.22,,82330000,231.7,,168580000,
2013-Q4,Q4,242680000,66018563,0.27,,112250000,241,,242680000,
2014-Q1,Q1,250490000,64723094,0.26,,114340000,255,,250490000,
2014-Q2,Q2,312170000,64674272,0.21,,139290000,271,,312170000,
2014-Q3,Q3,361270000,53033856,0.15,,168580000,284,,361270000,
2014-Q4,Q4,479080000,64854410,0.14,,242680000,288,,479080000,
2015-Q1,Q1,435940000,65698992,0.15,,250490000,302,74%,435940000,74%
2015-Q2,Q2,502380000,70305145,0.14,,312170000,304,61%,502380000,61%
2015-Q3,Q3,569240000,77824904,0.14,,361270000,307,58%,569240000,58%
2015-Q4,Q4,710470000,98467237,0.14,,479080000,305,48%,710470000,48%
2016-Q1,Q1,594520000,77739175,0.13,217.74,435940000,310,36%,594520000,36%
2016-Q2,Q2,601960000,82663184,0.14,217.65,502380000,313,20%,601960000,20%
2016-Q3,Q3,615930000,79561715,0.13,246.24,569240000,317,8%,615930000,8%
2016-Q4,Q4,717210000,97146339,0.14,243.14,710470000,318,1%,717210000,1%
2017-Q1,Q1,548250000,65382627,0.12,263.86,594520000,327,-8%,548250000,-8%
2017-Q2,Q2,573860000,68095379,0.12,316.49,601960000,326,-5%,573860000,-5%
2017-Q3,Q3,589630000,65808789,0.11,327.13,615930000,330,-4%,589630000,-4%
2017-Q4,Q4,731560000,100973025,0.14,369.2,717210000,330,2%,731560000,2%
2018-Q1,Q1,664870000,76268924,0.12,405.16,548250000,336,21%,664870000,21%
2018-Q2,Q2,710540000,90999118,0.13,460.31,573860000,335,24%,710540000,24%
2018-Q3,Q3,758110000,104151757,0.14,468.03,589630000,326,29%,758110000,29%
2018-Q4,Q4,908840000,135686479,0.16,362.63,731560000,321,24%,908840000,24%
2019-Q1,Q1,786890000,110620507,0.14,442.02,664870000,330,18%,782222106,18%
2019-Q2,Q2,841380000,116456656,0.14,446.23,710540000,330,18%,822510354,16%
2019-Q3,Q3,823720000,118253027,0.15,421.84,758110000,330,9%,838120477,11%
2019-Q4,Q4,,170094078,0.16,464.76,908840000,320,,1100672678,21%
